"country","iso3c","perc_SSF","intake","category"
"Aruba","ABW",0.0982751093968751,NA,NA
"Angola","AGO",10.7758947279711,40.6595919182652,"Less vulnerable and less reliant"
"Anguilla","AIA",14.8584965827256,NA,NA
"Albania","ALB",2.67957984942522,15.1869551695677,"Less vulnerable and less reliant"
"United Arab Emirates","ARE",12.9980524879627,17.8105909083547,"Less vulnerable but reliant"
"Argentina","ARG",0.839020744581829,31.133065757522,"Less vulnerable and less reliant"
"Armenia","ARM",0,20.9761424458136,"Less vulnerable and less reliant"
"American Samoa","ASM",2.67855557832778,NA,NA
"Antigua & Barbuda","ATG",17.4169918401095,22.5419842061868,"Less vulnerable but reliant"
"Australia","AUS",0.446774469251875,17.2469319565514,"Less vulnerable and less reliant"
"Austria","AUT",0,30.6729869216831,"Less vulnerable and less reliant"
"Azerbaijan","AZE",0,31.8733516010515,"Less vulnerable and less reliant"
"Burundi","BDI",0,92.4984779345887,"Vulnerable but less reliant"
"Belgium","BEL",0.00108846149257308,30.5047689900546,"Less vulnerable and less reliant"
"Benin","BEN",15.2555716870702,57.5846935223187,"Vulnerable and reliant"
"Caribbean Netherlands","BES",9.42395626446536,NA,NA
"Burkina Faso","BFA",0,59.91735860555,"Vulnerable but less reliant"
"Bangladesh","BGD",23.437104391279,53.042815009967,"Vulnerable and reliant"
"Bulgaria","BGR",0.0201655922282466,30.8650957788464,"Less vulnerable and less reliant"
"Bahrain","BHR",6.90603986671933,92.5212325407873,"Vulnerable but less reliant"
"Bahamas","BHS",23.6898208205053,39.1212716521462,"Less vulnerable but reliant"
"Bosnia & Herzegovina","BIH",0.386971300187414,23.390204142725,"Less vulnerable and less reliant"
"St. Barthélemy","BLM",14.1469044983581,NA,NA
"Belarus","BLR",0,22.0740963771235,"Less vulnerable and less reliant"
"Belize","BLZ",22.1910604949501,50.6304123039896,"Vulnerable and reliant"
"Bermuda","BMU",1.94083900422916,NA,NA
"Bolivia","BOL",0,47.9192395242671,"Vulnerable but less reliant"
"Brazil","BRA",5.29033963526681,30.7537638666229,"Less vulnerable and less reliant"
"Barbados","BRB",2.02392969789711,25.2455039139231,"Less vulnerable and less reliant"
"Brunei","BRN",7.98967463894616,28.76172141943,"Less vulnerable and less reliant"
"Bhutan","BTN",0,91.0301128876226,"Vulnerable but less reliant"
"Botswana","BWA",0,36.870477849049,"Less vulnerable and less reliant"
"Central African Republic","CAF",0,62.6115350032989,"Vulnerable but less reliant"
"Canada","CAN",3.26686049364352,25.0226805829673,"Less vulnerable and less reliant"
"Switzerland","CHE",0,19.0947817820399,"Less vulnerable and less reliant"
"Chile","CHL",24.3032663207208,32.7252317096046,"Less vulnerable but reliant"
