"country","iso3c","year","genus_cat","scientific_name","common_name","production_sector","pred_consumption"
"Albania","ALB",2019,"Demersal Fish","Anguilla anguilla","European eel","Subsistence",0.072536241
"Albania","ALB",2019,"Demersal Fish","Boops boops","Bogue","Subsistence",4.300816567
"Albania","ALB",2019,"Pelagic Fish","Dentex dentex","Common dentex","Subsistence",0.078466922
"Albania","ALB",2019,"Cephalopods","Loligo","Common squids","Subsistence",0.465922036
"Albania","ALB",2019,"Marine fish; Other","Marine fishes not identified","Marine fishes nei","Subsistence",41.86575921
"Albania","ALB",2019,"Cephalopods","Octopus vulgaris","Common octopus","Subsistence",0.0419666
"Albania","ALB",2019,"Pelagic Fish","Sarda sarda","Atlantic bonito","Subsistence",0.315910507
"Albania","ALB",2019,"Pelagic Fish","Sardinella aurita","Round sardinella","Subsistence",0.07406822
"Albania","ALB",2019,"Demersal Fish","Spicara","Picarels","Subsistence",7.420028455
"Algeria","DZA",2019,"Demersal Fish","Boops boops","Bogue","Recreational",603.2127886
"Algeria","DZA",2019,"Cephalopods","Cephalopoda","Squids, cuttlefishes, octopuses","Recreational",1145.389563
"Algeria","DZA",2019,"Demersal Fish","Chelon labrosus","Thicklip grey mullet","Subsistence",2.128913
"Algeria","DZA",2019,"Demersal Fish","Conger conger","European conger","Subsistence",15.96685
"Algeria","DZA",2019,"Pelagic Fish","Dentex dentex","Common dentex","Recreational",22.80800489
"Algeria","DZA",2019,"Demersal Fish","Dicentrarchus labrax","European seabass","Subsistence",2.128913
"Algeria","DZA",2019,"Pelagic Fish","Diplodus","Two-toothed seabreams","Subsistence",42.57827
"Algeria","DZA",2019,"Pelagic Fish","Elasmobranchii","Sharks, rays, skates","Subsistence",31.9337
"Algeria","DZA",2019,"Demersal Fish","Epinephelus","Seabasses, hinds","Recreational",532.5926731
"Algeria","DZA",2019,"Demersal Fish","Epinephelus","Seabasses, hinds","Subsistence",6.38674
"Algeria","DZA",2019,"Demersal Fish","Epinephelus marginatus","Dusky grouper","Recreational",114.1226363
"Algeria","DZA",2019,"Pelagic Fish","Lithognathus mormyrus","Sand steenbras","Subsistence",2.128913
"Algeria","DZA",2019,"Marine fish; Other","Marine fishes not identified","Marine fishes nei","Recreational",83.38371691
"Algeria","DZA",2019,"Marine fish; Other","Marine fishes not identified","Marine fishes nei","Subsistence",2.128913
"Algeria","DZA",2019,"Demersal Fish","Mullus surmuletus","Surmullet","Subsistence",4.257827
"Algeria","DZA",2019,"Cephalopods","Octopus","Octopuses, pikas","Subsistence",26.61142
"Algeria","DZA",2019,"Cephalopods","Octopus vulgaris","Common octopus","Recreational",22.80800489
"Algeria","DZA",2019,"Pelagic Fish","Pagellus","Pandoras","Subsistence",2.128913
"Algeria","DZA",2019,"Pelagic Fish","Sardina pilchardus","European pilchard","Recreational",36.7938769
"Algeria","DZA",2019,"Pelagic Fish","Sardinella aurita","Round sardinella","Recreational",603.2127886
"Algeria","DZA",2019,"Demersal Fish","Sciaena umbra","Brown meagre","Recreational",22.80800489
"Algeria","DZA",2019,"Pelagic Fish","Scomber","Chub mackerels","Subsistence",2.128913
"Algeria","DZA",2019,"Pelagic Fish","Scombridae","Mackerels, tunas, bonitos","Recreational",363.1757569
"Algeria","DZA",2019,"Pelagic Fish","Scombroidei","Tunas, bonitos, billfishes","Subsistence",3.19337
"Algeria","DZA",2019,"Demersal Fish","Scorpaena","Scorpionfishes","Subsistence",2.128913
"Algeria","DZA",2019,"Pelagic Fish","Sparidae","Porgies, seabreams","Recreational",22.80800489
"Algeria","DZA",2019,"Demersal Fish","Sparus aurata","Gilthead seabream","Subsistence",2.128913
"Algeria","DZA",2019,"Demersal Fish","Trachinidae","Weeverfishes","Subsistence",2.128913
"Algeria","DZA",2019,"Pelagic Fish","Trachurus","Jacks, horse mackerels","Recreational",501.9110203
"Algeria","DZA",2019,"Pelagic Fish","Xiphias gladius","Swordfish","Recreational",1.973160156
"Algeria","DZA",2019,"Pelagic Fish","Xiphias gladius","Swordfish","Subsistence",42.57827
"American Samoa","ASM",2019,"Demersal Fish","Abudefduf","Sergeants","Recreational",0.425081435
"American Samoa","ASM",2019,"Demersal Fish","Abudefduf","Sergeants","Subsistence",0.106270359
"American Samoa","ASM",2019,"Demersal Fish","Acanthurus","Surgeonfishes","Recreational",3.911366377
"American Samoa","ASM",2019,"Demersal Fish","Acanthurus","Surgeonfishes","Subsistence",0.977841594
"American Samoa","ASM",2019,"Demersal Fish","Acanthurus lineatus","Lined surgeonfish","Recreational",2.644351115
"American Samoa","ASM",2019,"Demersal Fish","Acanthurus lineatus","Lined surgeonfish","Subsistence",0.661087779
"American Samoa","ASM",2019,"Demersal Fish","Acanthurus triostegus","Convict surgeonfish","Recreational",0.801560092
"American Samoa","ASM",2019,"Demersal Fish","Acanthurus triostegus","Convict surgeonfish","Subsistence",0.200390023
"American Samoa","ASM",2019,"Demersal Fish","Acanthurus xanthopterus","Yellowfin surgeonfish","Recreational",0.831647525
"American Samoa","ASM",2019,"Demersal Fish","Acanthurus xanthopterus","Yellowfin surgeonfish","Subsistence",0.207911881
"American Samoa","ASM",2019,"Demersal Fish","Aprion virescens","Green jobfish","Recreational",0.432539004
"American Samoa","ASM",2019,"Demersal Fish","Aprion virescens","Green jobfish","Subsistence",0.108134751
"American Samoa","ASM",2019,"Demersal Fish","Balistidae","Triggerfishes","Recreational",0.200325734
