"iso3c","nutrient","aquaculture","Artisanal","ASF","Import","Industrial","Other","Recreational","Subsistence","pop","SSF","SSF_per_capita","total","perc_SSF","perc_SSF_ASF"
"ABW","Calcium",0,0,891.130798302975,1163905916,0,12937.439728,60930846.19872,100569970.937592,104341,100569970.937592,2.64070851297483,13828.570526303,0.0190960338811015,0.296332313730337
"ABW","Iron",0,0,54.8073460255112,37392111.4533333,0,423.2484891,5303240.317296,389758.9097696,104341,389758.9097696,0.0102340655112157,478.055835125511,0.00214076782652988,0.0186727989099345
"ABW","DHA+EPA",0,0,4.28603122564139,7670222.26442,0,28.42623065,5386738.14356832,86048.6359148352,104341,86048.6359148352,0.00225941564138646,32.7122618756414,0.0069069379854436,0.0527157998259415
"ABW","Protein",0,0,755.11878076,0,0,1198.65460937,0,0,104341,0,0,1953.77339013,0,0
"ABW","Vitamin A",0,0,4769.13598370111,286850714,0,16046.19087956,80112779.26128,6566765.71488,104341,6566765.71488,0.172426361112858,20815.3268632611,0.000828362495797215,0.0036154632977994
"ABW","Vitamin B12",0,0,58.4811409927343,106966923.683333,0,82.86080421,14931818.482032,532966.6752192,104341,532966.6752192,0.0139943327343367,141.341945202734,0.00990104721868931,0.0239296506476769
"ABW","Zinc",0,0,69.3084598357664,36569125.5166667,0,179.14479362,2866006.4693472,118205.63954304,104341,118205.63954304,0.00310377576639294,248.453253455766,0.00124923933304239,0.00447820623015958
"AGO","Calcium",0,31757074008.4886,37.6948496212092,40529779040,73983447402.993,247.69632394,34198649.897,23075314003.9414,8157524.278,54832388012.43,18.4156020212092,285.391173561209,6.45275808337483,48.8544249579592
"AGO","Iron",0,516726586.90519,1.43622403281293,1058501935.2,1218174191.24304,12.02219511,1036640.69759224,461130955.843709,8157524.278,977857542.748899,0.328416032812926,13.4584191428129,2.44022740953425,22.8666298091186
"AGO","DHA+EPA",0,517609680.772936,0.491321262897738,1017329033.3868,1230441462.21902,0.508086,1114493.87703631,510207958.50176,8157524.278,1027817639.2747,0.345195262897738,0.999407262897738,34.5399994289475,70.2585637881473
