"species","nutrient","nutrient_units","value","ssd","count","se","lower_ci","upper_ci","taxa_match","genus_cat"
"octopus vulgaris","Calcium","mg",34,18.0192797981619,9,6.00642659938729,21.9269332017904,49.6286223537652,"species","Cephalopods"
"sepia officinalis","Calcium","mg",22,10.0166528008778,3,5.78311719096582,0.783921698496524,50.5494116348368,"species","Cephalopods"
"anguilla anguilla","Calcium","mg",14.4,NA,1,NA,NA,NA,"species","Demersal Fish"
"boops boops","Calcium","mg",65,NA,1,NA,NA,NA,"species","Demersal Fish"
"dicentrarchus labrax","Calcium","mg",25,18.4975538923394,5,8.27235758414734,7.16225327704828,53.0977467229517,"species","Demersal Fish"
"sparus aurata","Calcium","mg",19.515,NA,1,NA,NA,NA,"species","Demersal Fish"
"dentex dentex","Calcium","mg",38.1118,NA,1,NA,NA,NA,"species","Pelagic Fish"
"engraulis encrasicolus","Calcium","mg",54,49.4974746830583,2,35,0,498.717165766114,"species","Pelagic Fish"
"sarda sarda","Calcium","mg",19,4.24264068711928,2,3,0,57.1186142085241,"species","Pelagic Fish"
"sardinella aurita","Calcium","mg",4.4,NA,1,NA,NA,NA,"species","Pelagic Fish"
"thunnus thynnus","Calcium","mg",8,1.92353840616713,5,0.860232526704263,5.41161161190002,10.1883883881,"species","Pelagic Fish"
"mytilus galloprovincialis","Calcium","mg",69,14.2945210949277,3,8.2529456020933,36.8237744100128,107.842892256654,"species","Moluscs; Other"
"todarodes sagittatus","Calcium","mg",42,NA,1,NA,NA,NA,"species","Cephalopods"
"aristeus antennatus","Calcium","mg",121,NA,1,NA,NA,NA,"species","Crustaceans"
"homarus gammarus","Calcium","mg",49.5,4.94974746830583,2,3.5,5.02828342338858,93.9717165766114,"species","Crustaceans"
"nephrops norvegicus","Calcium","mg",80,28.5406143358314,6,11.6516570113916,46.2151287981189,106.118204535214,"species","Crustaceans"
"isurus oxyrinchus","Calcium","mg",12,NA,1,NA,NA,NA,"species","Demersal Fish"
"lophius piscatorius","Calcium","mg",6.5,2.12132034355964,2,1.5,0,25.559307104262,"species","Demersal Fish"
"molva dypterygia","Calcium","mg",9,NA,1,NA,NA,NA,"species","Demersal Fish"
"prionace glauca","Calcium","mg",5,NA,1,NA,NA,NA,"species","Demersal Fish"
"scorpaena scrofa","Calcium","mg",61,NA,1,NA,NA,NA,"species","Demersal Fish"
"seriola dumerili","Calcium","mg",15,NA,1,NA,NA,NA,"species","Demersal Fish"
"solea solea","Calcium","mg",41,21.5096877398689,4,10.7548438699345,9.77328686222397,78.226713137776,"species","Demersal Fish"
"squalus acanthias","Calcium","mg",8.5,3.20156211871642,4,1.60078105935821,3.15560023207732,13.3443997679227,"species","Demersal Fish"
"coryphaena hippurus","Calcium","mg",13,3.05505046330389,3,1.76383420737639,4.74416726613981,19.9224994005269,"species","Pelagic Fish"
"katsuwonus pelamis","Calcium","mg",9.5,2.12132034355964,2,1.5,0,28.559307104262,"species","Pelagic Fish"
"lithognathus mormyrus","Calcium","mg",69,NA,1,NA,NA,NA,"species","Pelagic Fish"
"oblada melanura","Calcium","mg",32,NA,1,NA,NA,NA,"species","Pelagic Fish"
"pagellus bogaraveo","Calcium","mg",64,16.0727512683216,3,9.27960727138337,17.4064057761127,97.260260890554,"species","Pelagic Fish"
"pagrus pagrus","Calcium","mg",17,NA,1,NA,NA,NA,"species","Pelagic Fish"
"scomber scombrus","Calcium","mg",12,4.94192791480729,12,1.42661170596486,8.66838213929167,14.948284527375,"species","Pelagic Fish"
"thunnus alalunga","Calcium","mg",9,4.54858219668503,4,2.27429109834251,3.94219069694024,18.4178093030598,"species","Pelagic Fish"
"trachurus mediterraneus","Calcium","mg",85,NA,1,NA,NA,NA,"species","Pelagic Fish"
"xiphias gladius","Calcium","mg",5.5,17.2119144780585,4,8.60595723902925,0,40.6379968187782,"species","Pelagic Fish"
"zeus faber","Calcium","mg",23,NA,1,NA,NA,NA,"species","Pelagic Fish"
"thunnus albacares","Calcium","mg",5,6.65832811847939,3,3.84418753155693,0,24.8735373096556,"species","Pelagic Fish"
"thunnus obesus","Calcium","mg",4,NA,1,NA,NA,NA,"species","Pelagic Fish"
"penaeus monodon","Calcium","mg",39.5,19.5857090757521,6,7.99583224769838,20.4460588632715,61.5539411367285,"species","Crustaceans"
"penaeus semisulcatus","Calcium","mg",60.3,4.0182915109119,6,1.64046063991524,57.6497283436242,66.0836049897091,"species","Crustaceans"
"portunus pelagicus","Calcium","mg",117.5,42.5205832509386,6,17.3589554217221,64.3773845073008,153.622615492699,"species","Crustaceans"
