"country","iso3c","year","genus_cat","scientific_name","common_name","production_sector","tonnes"
"Albania","ALB",2019,"Cephalopods","Loligo","Common squids","Artisanal",8.842992094
"Albania","ALB",2019,"Cephalopods","Loligo","Common squids","Industrial",26.9311166
"Albania","ALB",2019,"Cephalopods","Octopus vulgaris","Common octopus","Artisanal",0.796505821
"Albania","ALB",2019,"Cephalopods","Octopus vulgaris","Common octopus","Industrial",27.01323765
"Albania","ALB",2019,"Cephalopods","Sepia officinalis","Common cuttlefish","Industrial",37.21503428
"Albania","ALB",2019,"Crustaceans","Parapenaeus longirostris","Deepwater rose shrimp","Industrial",12.50081153
"Albania","ALB",2019,"Demersal Fish","Anguilla anguilla","European eel","Artisanal",1.376706686
"Albania","ALB",2019,"Demersal Fish","Boops boops","Bogue","Artisanal",81.6276289
"Albania","ALB",2019,"Demersal Fish","Boops boops","Bogue","Industrial",35.30605928
"Albania","ALB",2019,"Demersal Fish","Mugilidae","Mullets, grey mullets","Industrial",17.62309503
"Albania","ALB",2019,"Demersal Fish","Spicara","Picarels","Artisanal",140.8289097
"Albania","ALB",2019,"Demersal Fish","Spicara","Picarels","Industrial",14.14295163
"Albania","ALB",2019,"Marine fish; Other","Marine fishes not identified","Marine fishes nei","Artisanal",795.3892998
"Albania","ALB",2019,"Marine fish; Other","Marine fishes not identified","Marine fishes nei","Industrial",3796.939889
"Albania","ALB",2019,"Pelagic Fish","Dentex dentex","Common dentex","Artisanal",1.567656114
"Albania","ALB",2019,"Pelagic Fish","Engraulis encrasicolus","European anchovy","Industrial",0.493710123
"Albania","ALB",2019,"Pelagic Fish","Sarda sarda","Atlantic bonito","Artisanal",5.995851413
"Albania","ALB",2019,"Pelagic Fish","Sardina pilchardus","European pilchard","Industrial",716.4353191
"Albania","ALB",2019,"Pelagic Fish","Sardinella aurita","Round sardinella","Artisanal",1.405774804
"Algeria","DZA",2019,"Cephalopods","Loligo","Common squids","Artisanal",50.68039734
"Algeria","DZA",2019,"Cephalopods","Loligo","Common squids","Industrial",182.1964927
"Algeria","DZA",2019,"Cephalopods","Octopoda","Octopuses, argonauts","Artisanal",91.81861168
"Algeria","DZA",2019,"Cephalopods","Octopoda","Octopuses, argonauts","Industrial",329.7113883
"Algeria","DZA",2019,"Cephalopods","Octopus vulgaris","Common octopus","Artisanal",11.8311272
"Algeria","DZA",2019,"Cephalopods","Sepia officinalis","Common cuttlefish","Artisanal",106.5574895
"Algeria","DZA",2019,"Cephalopods","Sepia officinalis","Common cuttlefish","Industrial",180.0097965
"Algeria","DZA",2019,"Crustaceans","Aristeus antennatus","Blue and red shrimp","Artisanal",172.861729813
"Algeria","DZA",2019,"Crustaceans","Aristeus antennatus","Blue and red shrimp","Industrial",2807.718276
"Algeria","DZA",2019,"Crustaceans","Crangon crangon","Common shrimp","Industrial",647.3714509
"Algeria","DZA",2019,"Crustaceans","Decapoda","Crabs, lobsters, shrimps","Industrial",425.4158843
"Algeria","DZA",2019,"Crustaceans","Dendrobranchiata","Shrimps and prawns","Artisanal",21.515469169
"Algeria","DZA",2019,"Crustaceans","Miscellaneous marine crustaceans","Marine crabs, shrimps, lobsters nei","Artisanal",64.12854754
"Algeria","DZA",2019,"Crustaceans","Miscellaneous marine crustaceans","Marine crabs, shrimps, lobsters nei","Industrial",231.4614525
"Algeria","DZA",2019,"Crustaceans","Nephropidae","Clawed lobsters","Artisanal",1197.8858194
"Algeria","DZA",2019,"Crustaceans","Nephrops norvegicus","Norway lobster","Artisanal",8.51981365
"Algeria","DZA",2019,"Crustaceans","Nephrops norvegicus","Norway lobster","Industrial",498.0870885
"Algeria","DZA",2019,"Crustaceans","Palinuridae","Spiny lobsters","Industrial",26.78867912
"Algeria","DZA",2019,"Crustaceans","Palinurus","Spiny lobsters","Artisanal",2.416657546
"Algeria","DZA",2019,"Crustaceans","Palinurus","Spiny lobsters","Industrial",8.943342454
