"iso3c","year","genus_cat","common_name","scientific_name","production_sector","pred_consumption"
"ALB",2019,"Cephalopods","Common squids","Loligo","Artisanal",0
"ALB",2019,"Cephalopods","Common squids","Loligo","Industrial",0
"ALB",2019,"Cephalopods","Common octopus","Octopus vulgaris","Artisanal",0
"ALB",2019,"Cephalopods","Common octopus","Octopus vulgaris","Industrial",0
"ALB",2019,"Cephalopods","Common cuttlefish","Sepia officinalis","Industrial",0
"ALB",2019,"Crustaceans","Deepwater rose shrimp","Parapenaeus longirostris","Industrial",0
"ALB",2019,"Demersal Fish","European eel","Anguilla anguilla","Artisanal",0.941830668065956
"ALB",2019,"Demersal Fish","Bogue","Boops boops","Artisanal",55.8429802377868
"ALB",2019,"Demersal Fish","Bogue","Boops boops","Industrial",24.1535322931225
"ALB",2019,"Demersal Fish","Mullets, grey mullets","Mugilidae","Industrial",12.0562873226975
"ALB",2019,"Demersal Fish","Picarels","Spicara","Artisanal",96.3436783263731
"ALB",2019,"Demersal Fish","Picarels","Spicara","Industrial",9.67545644803196
"ALB",2019,"Demersal Fish","European seabass","Dicentrarchus labrax","aquaculture",697.800984913118
"ALB",2019,"Demersal Fish","Gilthead seabream","Sparus aurata","aquaculture",1676.0906010168
"ALB",2019,"Marine fish; Other","Marine fishes nei","Marine fishes not identified","Artisanal",795.3892998
"ALB",2019,"Marine fish; Other","Marine fishes nei","Marine fishes not identified","Industrial",3796.939889
"ALB",2019,"Pelagic Fish","Common dentex","Dentex dentex","Artisanal",0
"ALB",2019,"Pelagic Fish","European anchovy","Engraulis encrasicolus","Industrial",0
"ALB",2019,"Pelagic Fish","Atlantic bonito","Sarda sarda","Artisanal",0
"ALB",2019,"Pelagic Fish","European pilchard","Sardina pilchardus","Industrial",0
"ALB",2019,"Pelagic Fish","Round sardinella","Sardinella aurita","Artisanal",0
"ALB",2019,"Moluscs; Other","Mediterranean mussel","Mytilus galloprovincialis","aquaculture",947.67
"DZA",2019,"Cephalopods","Common squids","Loligo","Artisanal",0
"DZA",2019,"Cephalopods","Common squids","Loligo","Industrial",0
"DZA",2019,"Cephalopods","Octopuses, argonauts","Octopoda","Artisanal",0
"DZA",2019,"Cephalopods","Octopuses, argonauts","Octopoda","Industrial",0
"DZA",2019,"Cephalopods","Common octopus","Octopus vulgaris","Artisanal",0
"DZA",2019,"Cephalopods","Common cuttlefish","Sepia officinalis","Artisanal",0
"DZA",2019,"Cephalopods","Common cuttlefish","Sepia officinalis","Industrial",0
