"iso3c","nutrient","production_sector","nut_supply","consump"
"ABW","Calcium","Import",1163905916,14891.1938
"ABW","Calcium","Recreational",60930846.19872,2708.037608832
"ABW","Calcium","Subsistence",100569970.937592,130.18054176
"ABW","DHA+EPA","Import",7670222.26442,14891.1938
"ABW","DHA+EPA","Recreational",5386738.14356832,2708.037608832
"ABW","DHA+EPA","Subsistence",86048.6359148352,130.18054176
"ABW","Iron","Import",37392111.4533333,14891.1938
"ABW","Iron","Recreational",5303240.317296,2708.037608832
"ABW","Iron","Subsistence",389758.9097696,130.18054176
"ABW","Vitamin A","Import",286850714,14891.1938
"ABW","Vitamin A","Recreational",80112779.26128,2708.037608832
"ABW","Vitamin A","Subsistence",6566765.71488,130.18054176
"ABW","Vitamin B12","Import",106966923.683333,14891.1938
"ABW","Vitamin B12","Recreational",14931818.482032,2708.037608832
"ABW","Vitamin B12","Subsistence",532966.6752192,130.18054176
"ABW","Zinc","Import",36569125.5166667,14891.1938
"ABW","Zinc","Recreational",2866006.4693472,2708.037608832
"ABW","Zinc","Subsistence",118205.63954304,130.18054176
"AGO","Calcium","Artisanal",31757074008.4886,255028.966349006
"AGO","Calcium","Import",40529779040,902755.008
"AGO","Calcium","Industrial",73983447402.993,601217.726252546
"AGO","Calcium","Recreational",34198649.897,940.384506768
"AGO","Calcium","Subsistence",23075314003.9414,271725.856097962
"AGO","DHA+EPA","Artisanal",517609680.772936,255028.966349006
"AGO","DHA+EPA","Import",1017329033.3868,902755.008
"AGO","DHA+EPA","Industrial",1230441462.21902,601217.726252546
"AGO","DHA+EPA","Recreational",1114493.87703631,940.384506768
"AGO","DHA+EPA","Subsistence",510207958.50176,271725.856097962
"AGO","Iron","Artisanal",516726586.90519,255028.966349006
"AGO","Iron","Import",1058501935.2,902755.008
"AGO","Iron","Industrial",1218174191.24304,601217.726252546
"AGO","Iron","Recreational",1036640.69759224,940.384506768
"AGO","Iron","Subsistence",461130955.843709,271725.856097962
"AGO","Vitamin A","Artisanal",6222688257.59848,255028.966349006
"AGO","Vitamin A","Import",25213626840,902755.008
"AGO","Vitamin A","Industrial",13558929447.6752,601217.726252546
"AGO","Vitamin A","Recreational",80242226.30156,940.384506768
"AGO","Vitamin A","Subsistence",10450623645.6515,271725.856097962
"AGO","Vitamin B12","Artisanal",2514609343.70435,255028.966349006
"AGO","Vitamin B12","Import",3442719822.4,902755.008
"AGO","Vitamin B12","Industrial",6069973103.75964,601217.726252546
"AGO","Vitamin B12","Recreational",7740148.144408,940.384506768
"AGO","Vitamin B12","Subsistence",2234205535.81361,271725.856097962
"AGO","Zinc","Artisanal",430818358.787513,255028.966349006
"AGO","Zinc","Import",881570124.4,902755.008
"AGO","Zinc","Industrial",993090611.412632,601217.726252546
"AGO","Zinc","Recreational",996086.61570064,940.384506768
"AGO","Zinc","Subsistence",374572857.285861,271725.856097962
"AIA","Calcium","Artisanal",1085277505.99,3081.7203371712
"AIA","Calcium","Recreational",1074118.488,68.08992
"AIA","Calcium","Subsistence",298527163.39292,1142.7195723072
"AIA","DHA+EPA","Artisanal",3278625.47528116,3081.7203371712
"AIA","DHA+EPA","Recreational",68452.498824,68.08992
"AIA","DHA+EPA","Subsistence",1006231.89229583,1142.7195723072
"AIA","Iron","Artisanal",6235107.2132728,3081.7203371712
"AIA","Iron","Recreational",97879.26,68.08992
"AIA","Iron","Subsistence",1996740.4088918,1142.7195723072
"AIA","Vitamin A","Artisanal",92344234.360204,3081.7203371712
"AIA","Vitamin A","Recreational",2368961.8,68.08992
"AIA","Vitamin A","Subsistence",26152941.689704,1142.7195723072
"AIA","Vitamin B12","Artisanal",14572195.2288752,3081.7203371712
"AIA","Vitamin B12","Recreational",297893.4,68.08992
"AIA","Vitamin B12","Subsistence",8243682.83124696,1142.7195723072
"AIA","Zinc","Artisanal",6603598.82384048,3081.7203371712
"AIA","Zinc","Recreational",62699.468,68.08992
"AIA","Zinc","Subsistence",3538256.67883976,1142.7195723072
"ALB","Calcium","aquaculture",858956071.613366,15374.8936124636
"ALB","Calcium","Artisanal",54581579.6947728,735.016748314684
"ALB","Calcium","Import",4790355744,85355.5822
"ALB","Calcium","Industrial",19068619.5365489,220.249325106489
"ALB","Calcium","Subsistence",4375371.28980944,61.87362767544
"ALB","DHA+EPA","aquaculture",15065553.016629,15374.8936124636
"ALB","DHA+EPA","Artisanal",20374766.3547604,735.016748314684
"ALB","DHA+EPA","Import",76428524.86278,85355.5822
"ALB","DHA+EPA","Industrial",4793727.31442299,220.249325106489
"ALB","DHA+EPA","Subsistence",1584385.51599688,61.87362767544
"ALB","Iron","aquaculture",330596356.159322,15374.8936124636
"ALB","Iron","Artisanal",2305626.01806439,735.016748314684
"ALB","Iron","Import",122565172.026667,85355.5822
"ALB","Iron","Industrial",701401.738277207,220.249325106489
"ALB","Iron","Subsistence",192466.556960429,61.87362767544
"ALB","Vitamin A","aquaculture",762775359.927859,15374.8936124636
"ALB","Vitamin A","Artisanal",28556020.6590681,735.016748314684
"ALB","Vitamin A","Import",2096229376,85355.5822
"ALB","Vitamin A","Industrial",8169403.51631547,220.249325106489
"ALB","Vitamin A","Subsistence",2400046.8404332,61.87362767544
"ALB","Vitamin B12","aquaculture",140344018.769697,15374.8936124636
"ALB","Vitamin B12","Artisanal",2457590.47306014,735.016748314684
"ALB","Vitamin B12","Import",338215916.516667,85355.5822
"ALB","Vitamin B12","Industrial",562482.885546419,220.249325106489
"ALB","Vitamin B12","Subsistence",229305.8533284,61.87362767544
"ALB","Zinc","aquaculture",23891734.9341885,15374.8936124636
"ALB","Zinc","Artisanal",1283571.55045041,735.016748314684
"ALB","Zinc","Import",148062726.783333,85355.5822
"ALB","Zinc","Industrial",466185.598890332,220.249325106489
"ALB","Zinc","Subsistence",109311.355792637,61.87362767544
"ARE","Calcium","aquaculture",267811285.567646,7170.25066698634
"ARE","Calcium","Artisanal",53088626528.5485,227240.622353968
"ARE","Calcium","Import",60893502212,1053445.8396
"ARE","Calcium","Industrial",1600692282.77357,10368.4371846374
"ARE","Calcium","Recreational",109921456.732768,4226.7787124736
"ARE","Calcium","Subsistence",149078972.878526,397.6950843153
"ARE","DHA+EPA","aquaculture",7695053.08829539,7170.25066698634
"ARE","DHA+EPA","Artisanal",346387332.483898,227240.622353968
"ARE","DHA+EPA","Import",925286196.73964,1053445.8396
"ARE","DHA+EPA","Industrial",9279286.75486063,10368.4371846374
"ARE","DHA+EPA","Recreational",5794091.06774938,4226.7787124736
"ARE","DHA+EPA","Subsistence",103210.656874105,397.6950843153
"ARE","Iron","aquaculture",173766621.648567,7170.25066698634
"ARE","Iron","Artisanal",438011611.0078,227240.622353968
"ARE","Iron","Import",1462687781.24,1053445.8396
"ARE","Iron","Industrial",22216305.0068156,10368.4371846374
"ARE","Iron","Recreational",6461250.1255456,4226.7787124736
"ARE","Iron","Subsistence",1896080.06038949,397.6950843153
"ARE","Vitamin A","aquaculture",211961919.003822,7170.25066698634
"ARE","Vitamin A","Artisanal",10852869036.6266,227240.622353968
"ARE","Vitamin A","Import",26350325318,1053445.8396
"ARE","Vitamin A","Industrial",385788254.718857,10368.4371846374
"ARE","Vitamin A","Recreational",167652152.549928,4226.7787124736
"ARE","Vitamin A","Subsistence",9124873.4763085,397.6950843153
"ARE","Vitamin B12","aquaculture",30887003.9297967,7170.25066698634
"ARE","Vitamin B12","Artisanal",1411600860.54143,227240.622353968
"ARE","Vitamin B12","Import",4384000887.9,1053445.8396
"ARE","Vitamin B12","Industrial",67464390.0457537,10368.4371846374
"ARE","Vitamin B12","Recreational",27585637.8880544,4226.7787124736
"ARE","Vitamin B12","Subsistence",2337986.63623145,397.6950843153
"ARE","Zinc","aquaculture",5282299.93094796,7170.25066698634
"ARE","Zinc","Artisanal",258251964.250924,227240.622353968
"ARE","Zinc","Import",1613816324.6,1053445.8396
"ARE","Zinc","Industrial",22175946.1708358,10368.4371846374
"ARE","Zinc","Recreational",4315130.98627226,4226.7787124736
"ARE","Zinc","Subsistence",314679.973096939,397.6950843153
"ARG","Calcium","aquaculture",5669761.1604361,78.3026812384779
"ARG","Calcium","Artisanal",2261375451.29241,72973.54976221
"ARG","Calcium","Import",15518596384,289434.1582
"ARG","Calcium","Industrial",169871801969.013,3360441.89275056
"ARG","Calcium","Recreational",20072975089.3168,172960.85007892
"ARG","Calcium","Subsistence",34965554.6448,1554.02465088
"ARG","DHA+EPA","aquaculture",136664.696870362,78.3026812384779
"ARG","DHA+EPA","Artisanal",65121852.4306917,72973.54976221
"ARG","DHA+EPA","Import",292597523.56718,289434.1582
"ARG","DHA+EPA","Industrial",1203130318.866,3360441.89275056
"ARG","DHA+EPA","Recreational",62321688.2906989,172960.85007892
"ARG","DHA+EPA","Subsistence",1996921.6763808,1554.02465088
"ARG","Iron","aquaculture",141297.578533535,78.3026812384779
"ARG","Iron","Artisanal",131831742.42039,72973.54976221
"ARG","Iron","Import",663420232.506667,289434.1582
"ARG","Iron","Industrial",3981033040.23083,3360441.89275056
"ARG","Iron","Recreational",53303362.1787296,172960.85007892
"ARG","Iron","Subsistence",1243219.720704,1554.02465088
"ARG","Vitamin A","aquaculture",2754823.61962802,78.3026812384779
"ARG","Vitamin A","Artisanal",3177655336.72801,72973.54976221
"ARG","Vitamin A","Import",7308587336,289434.1582
"ARG","Vitamin A","Industrial",54356840404.3573,3360441.89275056
"ARG","Vitamin A","Recreational",4120477497.2,172960.85007892
"ARG","Vitamin A","Subsistence",310804930.176,1554.02465088
"ARG","Vitamin B12","aquaculture",986330.171091275,78.3026812384779
"ARG","Vitamin B12","Artisanal",236415145.212348,72973.54976221
"ARG","Vitamin B12","Import",2214136051.71667,289434.1582
"ARG","Vitamin B12","Industrial",6164334141.61565,3360441.89275056
"ARG","Vitamin B12","Recreational",618641456.145568,172960.85007892
"ARG","Vitamin B12","Subsistence",13986221.85792,1554.02465088
"ARG","Zinc","aquaculture",381621.493282573,78.3026812384779
"ARG","Zinc","Artisanal",213598074.257095,72973.54976221
"ARG","Zinc","Import",407716635.983333,289434.1582
"ARG","Zinc","Industrial",3493304424.99477,3360441.89275056
"ARG","Zinc","Recreational",269036525.73171,172960.85007892
