"country","iso3c","genus_cat","Exports","Imports","Reexports","perc_imp_reexport","perc_exports_reexport"
"Uganda","UGA","Pelagic Fish",24,703,520,73.9687055476529,2166.66666666667
"Jamaica","JAM","Pelagic Fish",8,13502,109,0.80728780921345,1362.5
"Jamaica","JAM","Marine Fish; Other",28,16516,326,1.9738435456527,1164.28571428571
"Zambia","ZMB","Freshwater Fish",40,15013,306,2.03823353093985,765
"Fiji","FJI","Marine Fish; Other",231,528,1098,207.954545454545,475.324675324675
"United Arab Emirates","ARE","Demersal Fish",284,19369,990,5.11126026124219,348.591549295775
"United Arab Emirates","ARE","Moluscs; Other",33,2120,104,4.90566037735849,315.151515151515
"United Arab Emirates","ARE","Freshwater Fish",351,55574,1088,1.95775002699104,309.97150997151
"Jamaica","JAM","Freshwater Fish",3,1502,9,0.599201065246338,300
"United Arab Emirates","ARE","Pelagic Fish",4157,89972,10844,12.0526385986751,260.861197979312
"Fiji","FJI","Demersal Fish",128,48,236,491.666666666667,184.375
"China, Macao SAR","MAC","Marine Fish; Other",11,6784,18,0.265330188679245,163.636363636364
"Canada","CAN","Cephalopods",78,15338,106,0.691094014865041,135.897435897436
"Fiji","FJI","Pelagic Fish",31769,43252,41008,94.8118006103764,129.081809310964
"Namibia","NAM","Freshwater Fish",3433,5027,4331,86.1547642729262,126.157879405768
"Barbados","BRB","Demersal Fish",7,135,7,5.18518518518519,100
"Rwanda","RWA","Cephalopods",49.98,50.8,49.98,98.3858267716535,100
"Saint Kitts and Nevis","KNA","Marine Fish; Other",5,930,5,0.537634408602151,100
"Rwanda","RWA","Freshwater Fish",259.73,4120.3,257.73,6.2551270538553,99.2299695837985
"Rwanda","RWA","Pelagic Fish",608.03,7007.51,581.03,8.29153294108749,95.5594296334063
"Fiji","FJI","Crustaceans",6,325,5,1.53846153846154,83.3333333333333
"Saint Kitts and Nevis","KNA","Crustaceans",30,112,16,14.2857142857143,53.3333333333333
"Jamaica","JAM","Aquatic Animals; Others",2,152,1,0.657894736842105,50
"United Arab Emirates","ARE","Marine Fish; Other",19735,38745,9807,25.3116531165312,49.6934380542184
"Zambia","ZMB","Pelagic Fish",66,105805,32,0.0302443173763055,48.4848484848485
"United Arab Emirates","ARE","Cephalopods",1174,7746,488,6.30002581977795,41.5672913117547
"Togo","TGO","Marine Fish; Other",20,9137,8,0.0875560906205538,40
"Oman","OMN","Crustaceans",295,2517,105,4.17163289630513,35.5932203389831
"Georgia","GEO","Demersal Fish",71,1948,25,1.28336755646817,35.2112676056338
"Madagascar","MDG","Pelagic Fish",8467,13978,1953,13.9719559307483,23.0660210227944
"Fiji","FJI","Moluscs; Other",36,120,8,6.66666666666667,22.2222222222222
"Uganda","UGA","Marine Fish; Other",1128,3900,241,6.17948717948718,21.3652482269504
"Georgia","GEO","Freshwater Fish",247,3745,52,1.38851802403204,21.0526315789474
"Oman","OMN","Marine Fish; Other",21357,16857,3416,20.2645785133772,15.9947558177647
"Madagascar","MDG","Marine Fish; Other",1554,191,108,56.544502617801,6.94980694980695
"Oman","OMN","Freshwater Fish",2417,4481,143,3.19125195268913,5.91642532064543
"Jamaica","JAM","Crustaceans",323,1493,19,1.27260549229739,5.88235294117647
"Zambia","ZMB","Demersal Fish",170,271,10,3.690036900369,5.88235294117647
"United Arab Emirates","ARE","Crustaceans",11647,49067,629,1.28192063912609,5.40053232592084
"Antigua and Barbuda","ATG","Marine Fish; Other",42,1341,2,0.149142431021626,4.76190476190476
"Canada","CAN","Freshwater Fish",132682,123236,5134,4.1659904573339,3.86940202891123
"Namibia","NAM","Crustaceans",2621,572,83,14.5104895104895,3.16673025562762
"Canada","CAN","Marine Fish; Other",57593,135463,1733,1.27931612322184,3.00904623825812
"Oman","OMN","Demersal Fish",1431,2995,38,1.26878130217028,2.6554856743536
"Fiji","FJI","Freshwater Fish",113,175,3,1.71428571428571,2.65486725663717
"Namibia","NAM","Cephalopods",2981,3110,61,1.96141479099678,2.04629319020463
"Canada","CAN","Demersal Fish",118590,106714,2285,2.14123732593662,1.92680664474239
"Namibia","NAM","Moluscs; Other",281,191,5,2.61780104712042,1.77935943060498
"Canada","CAN","Moluscs; Other",37850,14861,665,4.47479981158738,1.75693527080581
"New Zealand","NZL","Crustaceans",3657,5541,62,1.11893160079408,1.69537872573147
"Canada","CAN","Aquatic Animals; Others",7818,6156,127,2.06302794022092,1.62445638270657
"Kenya","KEN","Marine Fish; Other",3382,12622,52,0.411979084138805,1.53755174452986
"Barbados","BRB","Pelagic Fish",69,3472,1,0.0288018433179724,1.44927536231884
"Canada","CAN","Pelagic Fish",78788,98844,1124,1.13714540083364,1.42661318982586
"Sri Lanka","LKA","Pelagic Fish",14802,85554,194,0.226757369614512,1.3106336981489
"Rwanda","RWA","Marine Fish; Other",594.37,12714.78,7.35,0.057806741445782,1.23660346248969
"Sri Lanka","LKA","Cephalopods",2639,1011,25,2.47279920870425,0.94732853353543
"Oman","OMN","Pelagic Fish",86508,6254,779,12.4560281419891,0.900494751930457
