iso3c,Country,island,10m_elev,20m_elev,Total_2010,km_10,km_20,km_30,km_40,km_50,Total_2015,Total_pop
ABW,Aruba,Y,21327,42036,108141,104341,104341,104341,104341,104341,104341,104341
AGO,Angola,,651360,1025589,19618432,3712462.66,8157524.278,9095909.871,9923905.427,10385145.19,27884381,27884381
AIA,Anguilla,Y,3848,8680,15645,15645,15645,15645,15645,15645,NA,15645
ALB,Albania,,354132,519770,3215988,204313.1135,754365.9363,1023271.912,1755000.444,1953482.17,2880703,2880703
ANT,Netherlands Antilles,Y,46295,82791,202847,202847,202847,202847,202847,202847,NA,202847
ARE,United Arab Emirates,,1687598,2394480,7890924,487749.3267,1042008.115,1928167.049,2061304.588,2316126.293,9262900,9262900
ARG,Argentina,,4139178,9417300,40764561,5034493.393,7394246.771,13848930.69,14636052.38,17443683.07,43131966,43131966
ASM,American Samoa,Y,5370,9908,69543,55812,55812,55812,55812,55812,55812,55812
ATG,Antigua and Barbuda,Y,19534,34837,89612,93566,93566,93566,93566,93566,93566,93566
AUS,Australia,,2662710,5319928,22605732,9004450.631,14440705.7,16234492.03,16773336.44,17037916.64,23815995,23815995
BEL,Belgium,,2264375,3708009,10754056,209065.4258,390824.0977,514862.0039,882496.332,1471297.02,11274196,11274196
BEN,Benin,,2050573,2561503,9099922,2306606.109,3410541.922,3410541.922,3849900.125,4172488.359,10575952,10575952
BGD,Bangladesh,,62060023,119285973,150493658,23826420.82,32240270.23,43864227.76,55788771.9,63120220.65,156256276,156256276
BGR,Bulgaria,,82611,161765,7446135,379786.6006,681937.96,775376.5435,877320.7817,911283.1943,7177991,7177991
BHR,Bahrain,Y,949672,1094682,1323535,1371851,1371851,1371851,1371851,1371851,1371851,1371851
BHS,Bahamas,,287487,340000,347176,70088.48087,71882.93349,71882.93349,71882.93349,71882.93349,374206,374206
BIH,Bosnia,,4874,5783,3752228,62550.30859,62550.30859,62550.30859,95686.10938,108829.2051,3429361,3429361
BLR,Belarus,,0,0,9559441,0,0,0,0,0,9489616,9489616
BLZ,Belize,,115099,177864,317928,39445.75342,105439.3638,131452.3794,155190.1216,173207.2246,360933,360933
BMU,Bermuda,Y,19476,36507,65077,65237,65237,65237,65237,65237,65237,65237
BRA,Brazil,,13525900,23662622,196655014,26666030.82,46507287.14,54568054.97,59803403.92,71649381.26,204471769,204471769
BRB,Barbados,Y,9114,24959,273925,285324,285324,285324,285324,285324,285324,285324
BRN,Brunei,,42661,171411,405938,373222.9473,394090.4249,411216.8195,446252.1583,474231.6207,414907,414907
CAN,Canada,,1300770,2838937,34349561,8226025.118,9806110.252,10599756.79,10853853.05,11370266.47,35702908,35702908
CHE,Switzerland,,0,0,7701690,0,0,0,0,0,8282396,8282396
CHL,Chile,,214863,10016324.5,17269525,2852383.406,7044079.307,7392090.308,8116541.414,8463761.679,17969353,17969353
CHN,China,,163381088,237444794,1347565324,133563477.6,206630267,249536493.3,280314008.5,308732916.6,1371220000,1371220000
CIV,Cote d'Ivoire,,1463851,1999827,20152894,5450239.246,6218056.121,6631338.928,7322264.842,7753199.889,23226143,23226143
CMR,Cameroon,,670052,1518866,20030362,3708034.21,3990108.236,4302256.307,4590186.414,4686695.742,23298368,23298368
